"species","zooanthellae"
"Eusmilia fastigiata","zooxanthellate"
"Falcatoflabellum raoulensis","azooxanthellate"
"Favia fragum","zooxanthellate"
"Favia gravida","zooxanthellate"
"Favia leptophylla","zooxanthellate"
"Favites abdita","zooxanthellate"
"Favites acuticollis","zooxanthellate"
"Favites chinensis","zooxanthellate"
"Favites colemani","zooxanthellate"
"Favites complanata","zooxanthellate"
"Favites flexuosa","zooxanthellate"
"Favites halicora","zooxanthellate"
"Favites magnistellata","zooxanthellate"
"Favites melicerum","zooxanthellate"
"Favites micropentagonus","zooxanthellate"
"Favites paraflexuosus","zooxanthellate"
"Favites pentagona","zooxanthellate"
"Favites rotundata","zooxanthellate"
"Favites spinosa","zooxanthellate"
"Favites stylifera","zooxanthellate"
"Favites valenciennesi","zooxanthellate"
"Favites vasta","zooxanthellate"
"Flabellum alabastrum","azooxanthellate"
"Flabellum angulare","azooxanthellate"
"Flabellum angustum","azooxanthellate"
"Flabellum aotearoa","azooxanthellate"
"Flabellum apertum","azooxanthellate"
"Flabellum arcuatile","azooxanthellate"
"Flabellum areum","azooxanthellate"
"Flabellum atlanticum","azooxanthellate"
"Flabellum australe","azooxanthellate"
"Flabellum campanulatum","azooxanthellate"
"Flabellum chunii","azooxanthellate"
"Flabellum conuis","azooxanthellate"
"Flabellum curvatum","azooxanthellate"
"Flabellum daphnense","azooxanthellate"
"Flabellum deludens","azooxanthellate"
"Flabellum flexuosum","azooxanthellate"
"Flabellum floridanum","azooxanthellate"
"Flabellum folkesoni","azooxanthellate"
"Flabellum gardineri","azooxanthellate"
"Flabellum hoffmeisteri","azooxanthellate"
"Flabellum impensum","azooxanthellate"
"Flabellum japonicum","azooxanthellate"
"Flabellum knoxi","azooxanthellate"
"Flabellum lamellulosum","azooxanthellate"
"Flabellum lowekeyesi","azooxanthellate"
"Flabellum macandrewi","azooxanthellate"
