"species","age_at_maturity","aggressiveness","bleaching_response_index","chlorophyll_a_concentration","coloniality","colony_max_diameter","corallite_area","dark_respiration","egg_diameter","fecundity_polyp","growth_form","growthFormClasses","growth_rate","lipid_content","mode_larval_development","reduced_scattering_coefficient","size_at_maturity","skeletal_density","symbiodinium_density","tissue_thickness","sexual_system","zooxanthellae"
"Acropora lokani",NA,NA,NA,NA,"colonial",30,0.00441786466911065,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora longicyathus",NA,NA,25.88,NA,"colonial",NA,0.00636172512351933,NA,NA,NA,"hispidose","branching",NA,NA,"spawner",NA,NA,1.27,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora loripes",NA,NA,9.38,NA,"colonial",50,0.00567450173054656,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora loveli",NA,NA,NA,NA,"colonial",NA,0.0132732289614169,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora lutkeni",NA,NA,13.73,NA,"colonial",600,0.00636172512351933,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora maryae",NA,NA,NA,NA,"colonial",100,NA,NA,NA,NA,"branching_closed","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora microclados",NA,NA,0,NA,"colonial",100,0.00636172512351933,NA,NA,NA,"corymbose","corymbose",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora microphthalma",NA,NA,7.26,NA,"colonial",200,0.00502654824574367,NA,NA,NA,"branching_open","branching",NA,NA,"spawner",NA,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora millepora",NA,35.2,34.19,NA,"colonial",NA,0.00785398163397448,NA,0.541,5.139,"corymbose","corymbose",NA,NA,"spawner",7.2,45.3106195,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora minuta",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"encrusting","encrusting",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora mirabilis",NA,NA,NA,NA,"colonial",NA,NA,NA,NA,NA,"corymbose","corymbose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora monticulosa",NA,20.8,45.23,NA,"colonial",300,0.00636172512351933,NA,NA,NA,"digitate","digitate",NA,NA,"spawner",6.07,NA,NA,NA,NA,"hermaphrodite","zooxanthellate"
"Acropora mossambica",NA,NA,NA,NA,"colonial",NA,0.00567450173054657,NA,NA,NA,"corymbose","corymbose",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora multiacuta",NA,NA,NA,NA,"colonial",NA,0.0132732289614169,NA,NA,NA,"branching_closed","branching",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate"
"Acropora muricata",NA,NA,29.3,0.8,"colonial",1000,0.00785398163397448,1.23645833333333,NA,NA,"branching_open","branching",74.9552486187846,2.11,"spawner",NA,NA,1.48071428571429,1583200,NA,"hermaphrodite","zooxanthellate"
"Acropora nana",NA,44.6,NA,NA,"colonial",15,0.00441786466911065,NA,0.487858325308072,4.461,"branching_closed","branching",NA,NA,"spawner",NA,39.30972449,NA,NA,NA,"hermaphrodite","zooxanthellate"
